;Territórios;Camas nos hospitais
Município;Cascais;616
Município;Lisboa;5689
Município;Loures;null
Município;Mafra;0
Município;Moita;0
Município;Montijo;0
Município;Odivelas;0
Município;Oeiras;null
Município;Palmela;0
Município;Seixal;0
Município;Sesimbra;0
Município;Setúbal;null
Município;Sintra;1177
Município;Vila Franca de Xira;333
Município;Alcácer do Sal;0
Município;Grândola;0
Município;Odemira;0
Município;Santiago do Cacém;114
Município;Sines;0
Município;Aljustrel;0
Município;Almodôvar;0
Município;Alvito;0
Município;Barrancos;0
Município;Beja;233
Município;Castro Verde;0
Município;Cuba;0
Município;Ferreira do Alentejo;0
Município;Mértola;0
Município;Moura;0
Município;Ourique;0
Município;Serpa;0
Município;Vidigueira;0
Município;Almeirim;0
Município;Alpiarça;0
Município;Azambuja;0
Município;Benavente;0
Município;Cartaxo;0
Município;Chamusca;0
Município;Coruche;0
Município;Golegã;0
Município;Rio Maior;0
Município;Salvaterra de Magos;0
Município;Santarém;null
Município;Alter do Chão;0
Município;Arronches;0
Município;Avis;0
Município;Campo Maior;0
Município;Castelo de Vide;0
Município;Crato;0
Município;Elvas;0
Município;Fronteira;0
Município;Gavião;0
Município;Marvão;0
Município;Monforte;null
Município;Nisa;0
Município;Ponte de Sor;0
Município;Portalegre;250
Município;Sousel;0
Município;Alandroal;0
Município;Arraiolos;0
Município;Borba;0
Município;Estremoz;0
Município;Évora;null
Município;Montemor-o-Novo;null
Município;Mora;0
Município;Mourão;0
Município;Portel;0
Município;Redondo;0
Município;Reguengos de Monsaraz;0
Município;Vendas Novas;0
Município;Viana do Alentejo;0
Município;Vila Viçosa;0
Município;Albufeira;null
Município;Alcoutim;0
Município;Aljezur;0
Município;Castro Marim;0
Município;Faro;null
Município;Lagoa;0
Município;Lagos;null
Município;Loulé;null
Município;Monchique;0
Município;Olhão;14
Município;Portimão;null
Município;São Brás de Alportel;0
Município;Silves;null
Município;Tavira;0
Município;Vila do Bispo;0
Município;Vila Real de Santo António;0
Município;Vila do Porto;0
Município;Lagoa [R.A.A.];0
Município;Nordeste;0
Município;Ponta Delgada;832
Município;Povoação;0
Município;Ribeira Grande;0
Município;Vila Franca do Campo;0
Município;Angra do Heroísmo;552
Município;Vila da Praia da Vitória;0
Município;Santa Cruz da Graciosa;0
Município;Calheta [R.A.A.];0
Município;Velas;0
Município;Lajes do Pico;0
Município;Madalena;0
Município;São Roque do Pico;0
Município;Horta;100
Município;Lajes das Flores;0
Município;Santa Cruz das Flores;0
Município;Corvo;0
Município;Calheta [R.A.M.];0
Município;Câmara de Lobos;0
Município;Funchal;1868
Município;Machico;0
Município;Ponta do Sol;0
Município;Porto Moniz;0
Município;Ribeira Brava;0
Município;Santa Cruz;0
Município;Santana;0
Município;São Vicente;0
Município;Porto Santo;0
